,,,,,,,,,,,,,,,比例名簿順,把握
かみや ひろし,973,,北海道,8,神谷,裕,かみや,ひろし,49,立憲民主党,,新,0,北海道10区,1,
いしかわ かおり,974,,北海道,8,石川,香織,いしかわ,かおり,33,立憲民主党,,新,0,北海道11区,1,
やまざき まや,975,,北海道,8,山崎,摩耶,やまざき,まや,70,立憲民主党,,元,1,,7,把握漏れ
のいち ひろし,976,,北海道,8,野市,裕司,のいち,ひろし,53,幸福実現党,,新,0,,1,把握漏れ
なかじま ひでお,977,,北海道,8,中島,秀雄,なかじま,ひでお,68,幸福実現党,,新,0,,2,把握漏れ
とよまき きぬこ,978,,北海道,8,豊巻,絹子,とよまき,きぬこ,62,社会民主党,,新,0,,1,把握漏れ
いのうえ よしひさ,979,,東北,13,井上,義久,いのうえ,よしひさ,70,公明党,,前,8,,1,把握漏れ
まやま ゆういち,980,,東北,13,真山,祐一,まやま,ゆういち,36,公明党,,前,1,,2,把握漏れ
わたなべ だい,981,,東北,13,渡辺,大,わたなべ,だい,34,公明党,,新,0,,3,把握漏れ
はたけやま まさき,982,,東北,13,畠山,昌樹,はたけやま,まさき,43,日本維新の会,,新,0,宮城1区,1,
にしむら えみ,983,,東北,13,西村,恵美,にしむら,えみ,54,日本維新の会,,新,0,福島2区,1,
たかはし かつや,984,,東北,13,高橋,克也,たかはし,かつや,32,日本のこころ,,新,0,,1,把握漏れ
わたなべ としお,985,,東北,13,渡辺,敏雄,わたなべ,としお,68,社会民主党,,新,0,福島4区,1,
えんどう ようこ,986,,東北,13,遠藤,陽子,えんどう,ようこ,67,社会民主党,,新,0,福島5区,1,
みかみ たけし,987,,東北,13,三上,武志,みかみ,たけし,66,社会民主党,,新,0,,3,把握漏れ
たかはし ちづこ,988,,東北,13,高橋,千鶴子,たかはし,ちづこ,58,日本共産党,,前,5,,1,把握漏れ
ふなやま ゆみ,989,,東北,13,舩山,由美,ふなやま,ゆみ,49,日本共産党,,新,0,,2,把握漏れ
よしだ きょうこ,990,,東北,13,吉田,恭子,よしだ,きょうこ,36,日本共産党,,新,0,岩手1区,3,
まつい ひであき,991,,東北,13,松井,秀明,まつい,ひであき,48,日本共産党,,新,0,,4,把握漏れ
やない ひっしょう,992,,東北,13,矢内,筆勝,やない,ひっしょう,56,幸福実現党,,新,0,,1,把握漏れ
いしかわ みきこ,993,,東北,13,石川,幹子,いしかわ,みきこ,52,幸福実現党,,新,0,,2,把握漏れ
さとう じゅんろう,994,,東北,13,佐藤,純郎,さとう,じゅんろう,63,幸福実現党,,新,0,,3,把握漏れ
えと あきのり,995,,東北,13,江渡,聡徳,えと,あきのり,62,自由民主党,,前,6,,1,把握漏れ
つしま じゅん,996,,東北,13,津島,淳,つしま,じゅん,51,自由民主党,公明,前,2,青森1区,2,
おおしま ただもり,997,,東北,13,大島,理森,おおしま,ただもり,71,自由民主党,公明,前,11,青森2区,2,
きむら じろう,998,,東北,13,木村,次郎,きむら,じろう,49,自由民主党,公明,新,0,青森3区,2,
たかはし ひなこ,999,,東北,13,高橋,比奈子,たかはし,ひなこ,59,自由民主党,公明,前,2,岩手1区,2,
すずき しゅんいち,1000,,東北,13,鈴木,俊一,すずき,しゅんいち,64,自由民主党,公明,前,8,岩手2区,2,
ふじわら たかし,1001,,東北,13,藤原,崇,ふじわら,たかし,34,自由民主党,公明,前,2,岩手3区,2,
どい とおる,1002,,東北,13,土井,亨,どい,とおる,59,自由民主党,公明 / こころ,前,3,宮城1区,2,
あきば けんや,1003,,東北,13,秋葉,賢也,あきば,けんや,55,自由民主党,公明 / こころ,前,5,宮城2区,2,
にしむら あきひろ,1004,,東北,13,西村,明宏,にしむら,あきひろ,57,自由民主党,公明 / こころ,前,4,宮城3区,2,
いとう しんたろう,1005,,東北,13,伊藤,信太郎,いとう,しんたろう,64,自由民主党,公明 / こころ,前,5,宮城4区,2,
かつぬま しげあき,1006,,東北,13,勝沼,栄明,かつぬま,しげあき,42,自由民主党,公明 / こころ,前,2,宮城5区,2,
おのでら いつのり,1007,,東北,13,小野寺,五典,おのでら,いつのり,57,自由民主党,公明 / こころ,前,6,宮城6区,2,
とがし ひろゆき,1008,,東北,13,冨樫,博之,とがし,ひろゆき,62,自由民主党,公明,前,2,秋田1区,2,
かねだ かつとし,1009,,東北,13,金田,勝年,かねだ,かつとし,68,自由民主党,公明,前,3,秋田2区,2,
みのりかわ のぶひで,1010,,東北,13,御法川,信英,みのりかわ,のぶひで,53,自由民主党,公明,前,4,秋田3区,2,
えんどう としあき,1011,,東北,13,遠藤,利明,えんどう,としあき,67,自由民主党,公明,前,7,山形1区,2,
すずき のりかず,1012,,東北,13,鈴木,憲和,すずき,のりかず,35,自由民主党,公明,前,2,山形2区,2,
かとう あゆこ,1013,,東北,13,加藤,鮎子,かとう,あゆこ,38,自由民主党,公明,前,1,山形3区,2,
かめおか よしたみ,1014,,東北,13,亀岡,偉民,かめおか,よしたみ,62,自由民主党,公明,前,3,福島1区,2,
ねもと たくみ,1015,,東北,13,根本,匠,ねもと,たくみ,66,自由民主党,公明,前,7,福島2区,2,
うえすぎ けんたろう,1016,,東北,13,上杉,謙太郎,うえすぎ,けんたろう,42,自由民主党,公明,新,0,福島3区,2,
かんけ いちろう,1017,,東北,13,菅家,一郎,かんけ,いちろう,62,自由民主党,公明,前,2,福島4区,2,
よしの まさよし,1018,,東北,13,吉野,正芳,よしの,まさよし,69,自由民主党,公明,前,6,福島5区,2,
はしもと ひでのり,1019,,東北,13,橋本,英教,はしもと,ひでのり,50,自由民主党,,前,2,,25,把握漏れ
むらかみ ふみと,1020,,東北,13,村上,文人,むらかみ,ふみと,67,自由民主党,,新,0,,26,把握漏れ
ときわ しげき,1021,,東北,13,常盤,茂樹,ときわ,しげき,47,自由民主党,,新,0,,27,把握漏れ
てらた まなぶ,1022,,東北,13,寺田,学,てらた,まなぶ,41,希望の党,,前,4,,1,把握漏れ
ますた せきお,1023,,東北,13,升田,世喜男,ますた,せきお,60,希望の党,,前,1,青森1区,2,
くどう たけし,1024,,東北,13,工藤,武司,くどう,たけし,45,希望の党,,新,0,青森2区,2,
やまうち たかし,1025,,東北,13,山内,崇,やまうち,たかし,62,希望の党,,新,0,青森3区,2,
しな たけし,1026,,東北,13,階,猛,しな,たけし,51,希望の党,,前,4,岩手1区,2,
はた こうじ,1027,,東北,13,畑,浩治,はた,こうじ,54,希望の党,,元,2,岩手2区,2,
いとう ゆうた,1028,,東北,13,伊藤,優太,いとう,ゆうた,32,希望の党,,新,0,宮城1区,2,
いちじょう よしひろ,1029,,東北,13,一條,芳弘,いちじょう,よしひろ,44,希望の党,,新,0,宮城3区,2,
ばんどう たけひこ,1030,,東北,13,坂東,毅彦,ばんどう,たけひこ,58,希望の党,,新,0,宮城4区,2,
まつうら だいご,1031,,東北,13,松浦,大悟,まつうら,だいご,48,希望の党,,新,0,秋田1区,2,
みどりかわ たかし,1032,,東北,13,緑川,貴士,みどりかわ,たかし,32,希望の党,,新,0,秋田2区,2,
むらおか としひで,1033,,東北,13,村岡,敏英,むらおか,としひで,57,希望の党,,前,2,秋田3区,2,
あらい かん,1034,,東北,13,荒井,寛,あらい,かん,44,希望の党,,新,0,山形1区,2,
こんどう ようすけ,1035,,東北,13,近藤,洋介,こんどう,ようすけ,52,希望の党,,前,5,山形2区,2,
あべ じゅいち,1036,,東北,13,阿部,寿一,あべ,じゅいち,58,希望の党,,元,1,山形3区,2,
おかべ みつのり,1037,,東北,13,岡部,光規,おかべ,みつのり,49,希望の党,,新,0,福島2区,2,
おぐま しんじ,1038,,東北,13,小熊,慎司,おぐま,しんじ,49,希望の党,,前,2,福島4区,2,
よしだ いずみ,1039,,東北,13,吉田,泉,よしだ,いずみ,68,希望の党,,前,5,福島5区,2,
うさみ のぼる,1040,,東北,13,宇佐美,登,うさみ,のぼる,50,希望の党,,元,2,,19,把握漏れ
たかまつ かずお,1041,,東北,13,高松,和夫,たかまつ,かずお,75,希望の党,,元,1,,20,把握漏れ
おかもと あきこ,1042,,東北,13,岡本,章子,おかもと,あきこ,53,立憲民主党,,新,0,宮城1区,1,
やまざき まこと,1043,,東北,13,山崎,誠,やまざき,まこと,54,立憲民主党,,元,1,,2,把握漏れ
あくつ ゆきひこ,1044,,東北,13,阿久津,幸彦,あくつ,ゆきひこ,61,立憲民主党,,元,3,,3,把握漏れ
かじ まもる,1045,,東北,13,梶,護,かじ,まもる,46,立憲民主党,,新,0,,4,把握漏れ
ふくしま のぶゆき,1046,,北関東,19,福島,伸享,ふくしま,のぶゆき,47,希望の党,,前,2,茨城1区,1,
いしづ まさお,1047,,北関東,19,石津,政雄,いしづ,まさお,70,希望の党,,元,1,茨城2区,1,
ひぐち まい,1048,,北関東,19,樋口,舞,ひぐち,まい,44,希望の党,維新,新,0,茨城3区,1,
おおくま としあき,1049,,北関東,19,大熊,利昭,おおくま,としあき,54,希望の党,,元,1,茨城4区,1,
あさの さとし,1050,,北関東,19,浅野,哲,あさの,さとし,35,希望の党,,新,0,茨城5区,1,
あおやま やまと,1051,,北関東,19,青山,大人,あおやま,やまと,38,希望の党,,新,0,茨城6区,1,
かしわくら ゆうじ,1052,,北関東,19,柏倉,祐司,かしわくら,ゆうじ,48,希望の党,,元,1,栃木1区,1,
わたなべ みゆき,1053,,北関東,19,渡辺,美由紀,わたなべ,みゆき,58,希望の党,,新,0,栃木3区,1,
ふじおか たかお,1054,,北関東,19,藤岡,隆雄,ふじおか,たかお,40,希望の党,,新,0,栃木4区,1,
おおまみうだ みのる,1055,,北関東,19,大豆生田,実,おおまみうだ,みのる,51,希望の党,,新,0,栃木5区,1,
みやざき たけし,1056,,北関東,19,宮崎,岳志,みやざき,たけし,47,希望の党,,前,2,群馬1区,1,
いしぜき たかし,1057,,北関東,19,石関,貴史,いしぜき,たかし,45,希望の党,,前,4,群馬2区,1,
ふわ ひろき,1058,,北関東,19,不破,弘樹,ふわ,ひろき,51,希望の党,,新,0,群馬4区,1,
いのくち さちこ,1059,,北関東,19,猪口,幸子,いのくち,さちこ,61,希望の党,,新,0,群馬5区,1,
たけまさ こういち,1060,,北関東,19,武正,公一,たけまさ,こういち,56,希望の党,,前,6,埼玉1区,1,
すが かつみ,1061,,北関東,19,菅,克己,すが,かつみ,51,希望の党,,新,0,埼玉2区,1,
みわ あさみ,1062,,北関東,19,三輪,麻美,みわ,あさみ,30,希望の党,,新,0,埼玉3区,1,
よしだ よしのり,1063,,北関東,19,吉田,芳朝,よしだ,よしのり,43,希望の党,,新,0,埼玉4区,1,
たかぎ ひでふみ,1064,,北関東,19,高木,秀文,たかぎ,ひでふみ,44,希望の党,維新,新,0,埼玉5区,1,
おおしま あつし,1065,,北関東,19,大島,敦,おおしま,あつし,60,希望の党,,前,6,埼玉6区,1,
こみやま やすこ,1066,,北関東,19,小宮山,泰子,こみやま,やすこ,52,希望の党,,前,5,埼玉7区,1,
おのづか まさとし,1067,,北関東,19,小野塚,勝俊,おのづか,まさとし,45,希望の党,,元,1,埼玉8区,1,
すぎむら しんじ,1068,,北関東,19,杉村,慎治,すぎむら,しんじ,41,希望の党,,新,0,埼玉9区,1,
さかもと ゆうのすけ,1069,,北関東,19,坂本,祐之輔,さかもと,ゆうのすけ,62,希望の党,,前,2,埼玉10区,1,
みすみ そうた,1070,,北関東,19,三角,創太,みすみ,そうた,29,希望の党,,新,0,埼玉11区,1,
もりた としかず,1071,,北関東,19,森田,俊和,もりた,としかず,43,希望の党,,新,0,埼玉12区,1,
きたずみ よしゆき,1072,,北関東,19,北角,嘉幸,きたずみ,よしゆき,54,希望の党,,新,0,埼玉13区,1,
すずき よしひろ,1073,,北関東,19,鈴木,義弘,すずき,よしひろ,54,希望の党,,前,2,埼玉14区,1,
たかやま さとし,1074,,北関東,19,高山,智司,たかやま,さとし,47,希望の党,,元,3,埼玉15区,1,
ながい やよい,1075,,北関東,19,永井,弥生,ながい,やよい,53,希望の党,,新,0,,30,把握漏れ
やました そう,1076,,北関東,19,山下,崇,やました,そう,44,希望の党,,新,0,,31,把握漏れ
なみき まさよし,1077,,北関東,19,並木,正芳,なみき,まさよし,68,希望の党,,元,2,,32,把握漏れ
はせがわ かいち,1078,,北関東,19,長谷川,嘉一,はせがわ,かいち,64,立憲民主党,,新,0,群馬3区,1,
やまかわ ゆりこ,1079,,北関東,19,山川,百合子,やまかわ,ゆりこ,48,立憲民主党,,新,0,埼玉3区,1,
えだの ゆきお,1080,,北関東,19,枝野,幸男,えだの,ゆきお,53,立憲民主党,,前,8,埼玉5区,1,
ほりこし けいにん,1081,,北関東,19,堀越,啓仁,ほりこし,けいにん,37,立憲民主党,,新,0,,4,把握漏れ
おおかわら まさこ,1082,,北関東,19,大河原,雅子,おおかわら,まさこ,64,立憲民主党,,新,0,,5,把握漏れ
たかぎ れんたろう,1083,,北関東,19,高木,錬太郎,たかぎ,れんたろう,45,立憲民主党,,新,0,,6,把握漏れ
あおやぎ ひとし,1084,,北関東,19,青柳,仁士,あおやぎ,ひとし,38,日本維新の会,,新,0,埼玉4区,1,
こひやま きよと,1085,,北関東,19,小檜山,清人,こひやま,きよと,60,日本維新の会,,新,0,埼玉1区,2,
やこう かんじ,1086,,北関東,19,谷古宇,勘司,やこう,かんじ,66,日本維新の会,,新,0,埼玉3区,2,
はたの ひろし,1087,,北関東,19,榛野,博,はたの,ひろし,47,日本維新の会,,新,0,埼玉14区,2,
たかはし ひであき,1088,,北関東,19,高橋,英明,たかはし,ひであき,54,日本維新の会,,新,0,埼玉15区,2,
こじま いちろう,1089,,北関東,19,小島,一郎,こじま,いちろう,46,幸福実現党,,新,0,,1,把握漏れ
もりた たかゆき,1090,,北関東,19,森田,貴行,もりた,たかゆき,46,幸福実現党,,新,0,,2,把握漏れ
みつはし あけみ,1091,,北関東,19,三觜,明美,みつはし,あけみ,55,幸福実現党,,新,0,,3,把握漏れ
さいとう よしお,1092,,北関東,19,斉藤,芳男,さいとう,よしお,60,幸福実現党,,新,0,,4,把握漏れ
いしい けいいち,1093,,北関東,19,石井,啓一,いしい,けいいち,59,公明党,,前,8,,1,把握漏れ
おかもと みつなり,1094,,北関東,19,岡本,三成,おかもと,みつなり,52,公明党,,前,2,,2,把握漏れ
こしみず けいいち,1095,,北関東,19,輿水,恵一,こしみず,けいいち,55,公明党,,前,2,,3,把握漏れ
むらかみ ともみ,1096,,北関東,19,村上,知己,むらかみ,ともみ,52,公明党,,新,0,,4,把握漏れ
いけだ まさよ,1097,,北関東,19,池田,万佐代,いけだ,まさよ,58,社会民主党,,新,0,埼玉13区,1,
たかはし のぶゆき,1098,,北関東,19,高橋,宣之,たかはし,のぶゆき,63,社会民主党,,新,0,群馬5区,1,
たどころ よしのり,1099,,北関東,19,田所,嘉徳,たどころ,よしのり,63,自由民主党,公明,前,2,茨城1区,1,
はなし やすひろ,1100,,北関東,19,葉梨,康弘,はなし,やすひろ,58,自由民主党,公明,前,4,茨城3区,1,
かじやま ひろし,1101,,北関東,19,梶山,弘志,かじやま,ひろし,62,自由民主党,公明,前,6,茨城4区,1,
いしかわ あきまさ,1102,,北関東,19,石川,昭政,いしかわ,あきまさ,45,自由民主党,,前,2,茨城5区,1,
くにみつ あやの,1103,,北関東,19,国光,文乃,くにみつ,あやの,38,自由民主党,公明,新,0,茨城6区,1,
ながおか けいこ,1104,,北関東,19,永岡,桂子,ながおか,けいこ,63,自由民主党,,前,4,茨城7区,1,
ふなだ はじめ,1105,,北関東,19,船田,元,ふなだ,はじめ,63,自由民主党,公明,前,11,栃木1区,1,
やな かずお,1106,,北関東,19,簗,和生,やな,かずお,38,自由民主党,公明,前,2,栃木3区,1,
さとう つとむ,1107,,北関東,19,佐藤,勉,さとう,つとむ,65,自由民主党,公明,前,7,栃木4区,1,
もてぎ としみつ,1108,,北関東,19,茂木,敏充,もてぎ,としみつ,62,自由民主党,公明,前,8,栃木5区,1,
おみ あさこ,1109,,北関東,19,尾身,朝子,おみ,あさこ,56,自由民主党,公明,前,1,群馬1区,1,
いの としろう,1110,,北関東,19,井野,俊郎,いの,としろう,37,自由民主党,公明,前,2,群馬2区,1,
ささがわ ひろよし,1111,,北関東,19,笹川,博義,ささがわ,ひろよし,51,自由民主党,公明,前,2,群馬3区,1,
ふくだ たつお,1112,,北関東,19,福田,達夫,ふくだ,たつお,50,自由民主党,公明,前,2,群馬4区,1,
おぶち ゆうこ,1113,,北関東,19,小渕,優子,おぶち,ゆうこ,43,自由民主党,公明,前,6,群馬5区,1,
むらい ひでき,1114,,北関東,19,村井,英樹,むらい,ひでき,37,自由民主党,公明,前,2,埼玉1区,1,
しんどう よしたか,1115,,北関東,19,新藤,義孝,しんどう,よしたか,59,自由民主党,公明,前,6,埼玉2区,1,
きかわだ ひとし,1116,,北関東,19,黄川田,仁志,きかわだ,ひとし,47,自由民主党,公明,前,2,埼玉3区,1,
ほさか やすし,1117,,北関東,19,穂坂,泰,ほさか,やすし,43,自由民主党,公明,新,0,埼玉4区,1,
まきはら ひでき,1118,,北関東,19,牧原,秀樹,まきはら,ひでき,46,自由民主党,公明,前,3,埼玉5区,1,
なかね かずゆき,1119,,北関東,19,中根,一幸,なかね,かずゆき,48,自由民主党,公明,前,3,埼玉6区,1,
かみやま さいち,1120,,北関東,19,神山,佐市,かみやま,さいち,63,自由民主党,公明,前,2,埼玉7区,1,
しばやま まさひこ,1121,,北関東,19,柴山,昌彦,しばやま,まさひこ,51,自由民主党,公明,前,5,埼玉8区,1,
おおつか たく,1122,,北関東,19,大塚,拓,おおつか,たく,44,自由民主党,公明,前,3,埼玉9区,1,
やまぐち たいめい,1123,,北関東,19,山口,泰明,やまぐち,たいめい,68,自由民主党,公明,前,6,埼玉10区,1,
のなか あつし,1124,,北関東,19,野中,厚,のなか,あつし,40,自由民主党,公明,前,2,埼玉12区,1,
つちや しなこ,1125,,北関東,19,土屋,品子,つちや,しなこ,65,自由民主党,公明,前,6,埼玉13区,1,
みつばやし ひろみ,1126,,北関東,19,三ツ林,裕巳,みつばやし,ひろみ,62,自由民主党,公明,前,2,埼玉14区,1,
たなか りょうせい,1127,,北関東,19,田中,良生,たなか,りょうせい,53,自由民主党,公明,前,3,埼玉15区,1,
なかそね やすたか,1128,,北関東,19,中曽根,康隆,なかそね,やすたか,35,自由民主党,,新,0,,30,把握漏れ
さとう あきお,1129,,北関東,19,佐藤,明男,さとう,あきお,65,自由民主党,,新,0,,31,把握漏れ
ひゃくたけ きみちか,1130,,北関東,19,百武,公親,ひゃくたけ,きみちか,55,自由民主党,,新,0,,32,把握漏れ
かんだ ゆたか,1131,,北関東,19,神田,裕,かんだ,ゆたか,59,自由民主党,,新,0,,33,把握漏れ
やまわき たかお,1132,,北関東,19,山脇,孝雄,やまわき,たかお,60,自由民主党,,新,0,,34,把握漏れ
ささお けんじ,1133,,北関東,19,笹尾,憲司,ささお,けんじ,68,自由民主党,,新,0,,35,把握漏れ
しおかわ てつや,1134,,北関東,19,塩川,鉄也,しおかわ,てつや,55,日本共産党,,前,6,,1,把握漏れ
うめむら さえこ,1135,,北関東,19,梅村,早江子,うめむら,さえこ,53,日本共産党,,前,1,埼玉15区,2,
おおうち くみこ,1136,,北関東,19,大内,久美子,おおうち,くみこ,68,日本共産党,,新,0,茨城1区,3,
たなはし せつこ,1137,,北関東,19,店橋,世津子,たなはし,せつこ,56,日本共産党,,新,0,群馬1区,4,
こいけ かずのり,1138,,北関東,19,小池,一徳,こいけ,かずのり,56,日本共産党,,新,0,,5,把握漏れ
ささき かつみ,1139,,南関東,22,佐々木,克己,ささき,かつみ,62,社会民主党,,新,0,神奈川15区,1,
みながわ しんいちろう,1140,,南関東,22,皆川,真一郎,みながわ,しんいちろう,63,社会民主党,,新,0,千葉12区,1,
ひぐち ひろやす,1141,,南関東,22,樋口,博康,ひぐち,ひろやす,58,立憲民主党,,新,0,千葉2区,1,
おかじま かずまさ,1142,,南関東,22,岡島,一正,おかじま,かずまさ,59,立憲民主党,,元,2,千葉3区,1,
やまだ あつし,1143,,南関東,22,山田,厚史,やまだ,あつし,69,立憲民主党,,新,0,千葉5区,1,
うぶかた ゆきお,1144,,南関東,22,生方,幸夫,うぶかた,ゆきお,69,立憲民主党,,元,5,千葉6区,1,
いしづか さだみち,1145,,南関東,22,石塚,貞通,いしづか,さだみち,50,立憲民主党,,新,0,千葉7区,1,
みやかわ しん,1146,,南関東,22,宮川,伸,みやかわ,しん,47,立憲民主党,,新,0,千葉13区,1,
しのはら ごう,1147,,南関東,22,篠原,豪,しのはら,ごう,42,立憲民主党,,前,1,神奈川1区,1,
たかはし のえ,1148,,南関東,22,高橋,野枝,たかはし,のえ,43,立憲民主党,,新,0,神奈川2区,1,
わせだ ゆき,1149,,南関東,22,早稲田,夕季,わせだ,ゆき,58,立憲民主党,,新,0,神奈川4区,1,
あおやぎ よういちろう,1150,,南関東,22,青柳,陽一郎,あおやぎ,よういちろう,48,立憲民主党,,前,2,神奈川6区,1,
なかたに かずま,1151,,南関東,22,中谷,一馬,なかたに,かずま,34,立憲民主党,,新,0,神奈川7区,1,
あべ ともこ,1152,,南関東,22,阿部,知子,あべ,ともこ,69,立憲民主党,,前,6,神奈川12区,1,
こばやし ひろゆき,1153,,南関東,22,小林,弘幸,こばやし,ひろゆき,45,立憲民主党,,新,0,山梨2区,1,
はせがわ ゆたか,1154,,南関東,22,長谷川,豊,はせがわ,ゆたか,42,日本維新の会,,新,0,千葉1区,1,
ふじまき けんた,1155,,南関東,22,藤巻,健太,ふじまき,けんた,34,日本維新の会,,新,0,千葉2区,1,
さとう ひろし,1156,,南関東,22,佐藤,浩,さとう,ひろし,52,日本維新の会,,新,0,千葉4区,1,
ほし けんたろう,1157,,南関東,22,星,健太郎,ほし,けんたろう,37,日本維新の会,,新,0,千葉6区,1,
くしだ せいいち,1158,,南関東,22,串田,誠一,くしだ,せいいち,59,日本維新の会,,新,0,神奈川6区,1,
みやがわ のりこ,1159,,南関東,22,宮川,典子,みやがわ,のりこ,38,自由民主党,,前,2,,1,把握漏れ
かどやま ひろあき,1160,,南関東,22,門山,宏哲,かどやま,ひろあき,53,自由民主党,公明,前,2,千葉1区,2,
こばやし たかゆき,1161,,南関東,22,小林,鷹之,こばやし,たかゆき,42,自由民主党,公明,前,2,千葉2区,2,
まつの ひろかず,1162,,南関東,22,松野,博一,まつの,ひろかず,55,自由民主党,公明,前,6,千葉3区,2,
きむら てつや,1163,,南関東,22,木村,哲也,きむら,てつや,48,自由民主党,公明,新,0,千葉4区,2,
そのうら けんたろう,1164,,南関東,22,薗浦,健太郎,そのうら,けんたろう,45,自由民主党,公明,前,3,千葉5区,2,
わたなべ ひろみち,1165,,南関東,22,渡辺,博道,わたなべ,ひろみち,67,自由民主党,公明,前,6,千葉6区,2,
さいとう けん,1166,,南関東,22,斎藤,健,さいとう,けん,58,自由民主党,公明,前,3,千葉7区,2,
さくらだ よしたか,1167,,南関東,22,桜田,義孝,さくらだ,よしたか,67,自由民主党,公明,前,6,千葉8区,2,
あきもと まさとし,1168,,南関東,22,秋本,真利,あきもと,まさとし,42,自由民主党,公明,前,2,千葉9区,2,
はやし もとお,1169,,南関東,22,林,幹雄,はやし,もとお,70,自由民主党,公明,前,8,千葉10区,2,
もり えいすけ,1170,,南関東,22,森,英介,もり,えいすけ,69,自由民主党,公明,前,9,千葉11区,2,
はまだ やすかず,1171,,南関東,22,浜田,靖一,はまだ,やすかず,62,自由民主党,公明,前,8,千葉12区,2,
しらすか たかき,1172,,南関東,22,白須賀,貴樹,しらすか,たかき,42,自由民主党,公明,前,2,千葉13区,2,
まつもと じゅん,1173,,南関東,22,松本,純,まつもと,じゅん,67,自由民主党,公明,前,6,神奈川1区,2,
すが よしひで,1174,,南関東,22,菅,義偉,すが,よしひで,68,自由民主党,公明,前,7,神奈川2区,2,
おこのぎ はちろう,1175,,南関東,22,小此木,八郎,おこのぎ,はちろう,52,自由民主党,公明,前,7,神奈川3区,2,
やまもと ともひろ,1176,,南関東,22,山本,朋広,やまもと,ともひろ,42,自由民主党,公明,前,3,神奈川4区,2,
さかい まなぶ,1177,,南関東,22,坂井,学,さかい,まなぶ,52,自由民主党,公明,前,3,神奈川5区,2,
すずき けいすけ,1178,,南関東,22,鈴木,馨祐,すずき,けいすけ,40,自由民主党,公明,前,3,神奈川7区,2,
みたに ひでひろ,1179,,南関東,22,三谷,英弘,みたに,ひでひろ,41,自由民主党,公明,元,1,神奈川8区,2,
なかやま のりひろ,1180,,南関東,22,中山,展宏,なかやま,のりひろ,49,自由民主党,公明,前,2,神奈川9区,2,
たなか かずのり,1181,,南関東,22,田中,和徳,たなか,かずのり,68,自由民主党,公明,前,7,神奈川10区,2,
ほしの つよし,1182,,南関東,22,星野,剛士,ほしの,つよし,54,自由民主党,公明,前,2,神奈川12区,2,
あまり あきら,1183,,南関東,22,甘利,明,あまり,あきら,68,自由民主党,公明,前,11,神奈川13区,2,
あかま じろう,1184,,南関東,22,赤間,二郎,あかま,じろう,49,自由民主党,公明,前,3,神奈川14区,2,
こうの たろう,1185,,南関東,22,河野,太郎,こうの,たろう,54,自由民主党,公明,前,7,神奈川15区,2,
よしいえ ひろゆき,1186,,南関東,22,義家,弘介,よしいえ,ひろゆき,46,自由民主党,公明,前,2,神奈川16区,2,
まきしま かれん,1187,,南関東,22,牧島,かれん,まきしま,かれん,40,自由民主党,公明,前,2,神奈川17区,2,
やまぎわ だいしろう,1188,,南関東,22,山際,大志郎,やまぎわ,だいしろう,49,自由民主党,公明,前,4,神奈川18区,2,
なかたに しんいち,1189,,南関東,22,中谷,真一,なかたに,しんいち,41,自由民主党,公明,前,2,山梨1区,2,
うえの ひろし,1190,,南関東,22,上野,宏史,うえの,ひろし,46,自由民主党,,元,1,,32,把握漏れ
でばた みのる,1191,,南関東,22,出畑,実,でばた,みのる,67,自由民主党,,新,0,,33,把握漏れ
とがわ まさあき,1192,,南関東,22,外川,正明,とがわ,まさあき,62,自由民主党,,新,0,,34,把握漏れ
おばた かずひろ,1193,,南関東,22,小幡,和弘,おばた,かずひろ,59,自由民主党,,新,0,,35,把握漏れ
じんむ さくらこ,1194,,南関東,22,神武,桜子,じんむ,さくらこ,31,幸福実現党,,新,0,,1,把握漏れ
ふるかわ ゆうぞう,1195,,南関東,22,古川,裕三,ふるかわ,ゆうぞう,35,幸福実現党,,新,0,,2,把握漏れ
おさむら やすひろ,1196,,南関東,22,長村,康博,おさむら,やすひろ,55,幸福実現党,,新,0,,3,把握漏れ
たかはし あきら,1197,,南関東,22,高橋,彰,たかはし,あきら,74,幸福実現党,,新,0,,4,把握漏れ
よくに ひでゆき,1198,,南関東,22,与国,秀行,よくに,ひでゆき,41,幸福実現党,,新,0,,5,把握漏れ
たじま かなめ,1199,,南関東,22,田嶋,要,たじま,かなめ,56,希望の党,,前,5,千葉1区,1,
たけがはら ゆみこ,1200,,南関東,22,竹ケ原,裕美子,たけがはら,ゆみこ,46,希望の党,,新,0,千葉2区,1,
くしぶち まり,1201,,南関東,22,櫛渕,万里,くしぶち,まり,50,希望の党,,元,1,千葉3区,1,
おかの じゅんこ,1202,,南関東,22,岡野,純子,おかの,じゅんこ,39,希望の党,,新,0,千葉5区,1,
えんどう のぶひこ,1203,,南関東,22,遠藤,宣彦,えんどう,のぶひこ,54,希望の党,,元,1,千葉6区,1,
はたの りな,1204,,南関東,22,波多野,里奈,はたの,りな,44,希望の党,,新,0,千葉7区,1,
おおた かずみ,1205,,南関東,22,太田,和美,おおた,かずみ,38,希望の党,,前,3,千葉8区,1,
おくの そういちろう,1206,,南関東,22,奥野,総一郎,おくの,そういちろう,53,希望の党,,前,3,千葉9区,1,
やたがわ はじめ,1207,,南関東,22,谷田川,元,やたがわ,はじめ,54,希望の党,,元,1,千葉10区,1,
